class,problem,code,answer
8,원 모양의 거울의 둘레가 15.7cm일 때 거울의 지름은 몇 cm인가요? 원주율은 3.14로 계산합니다.,"a = 15.7
b = 3.14
y = int(a / b)
print(y)",5
1,지용이가 가지고 있는 사탕의 길이는 시영이가 가지고 있는 사탕의 길이의 1.5배입니다. 재용이가 가지고 있는 사탕의 길이가 28.56cm일 때 시영이가 가지고 있는 사탕의 길이는 몇 cm인지 구해 보세요. ,"a = 1.5
b = 28.56
y = b / a
print(""{:.2f}"".format(y))",19.04
5,"세연이네 마을의 인구는 5000 명이고, 땅의 넓이는 30km²입니다. 세연이네 마을의 km²당 평균 인구는 몇 명입니까?","a = 5000
b = 30
y = a // b
print(y)",166
1,"민성이는 꽃밭 전체의 6/8에는 라일락을,1/5에는 안개꽃을 심었습니다. 꽃을 심지 않은 부분은 꽃밭 전체의 얼마인지 소수로 쓰시오.","a = 6/8
b = 1/5
y = 1 - (a + b)
print(""{:.2f}"".format(y))",0.05
5,70은 A보다 40 큰 수입니다. 60은 10보다 B 큰 수입니다. 이때 A+B를 계산하세요.,"a = 70
b = 40
c = 60
d = 10
y = (a - b) + (c - d)
print(y)",80
1,"문구점에 샤프심은 10 개씩 6 줄로, 가위는 13 개씩 2줄로 놓여 있습니다. 문구점에 놓여 있는 샤프심과 가위는 모두 몇 개일까요?","a = 10
b = 6
c = 13
d = 2
y = (a * b) + (c * d)
print(y)",86
1,"수박는 8kg, 코코넛는 14.1kg 입니다.  수박과 코코넛의 무게의 합은 몇 kg인지 구해 보세요.","a = 8
b = 14.1
y = a + b
print(""{:.2f}"".format(y))",22.10
8,"가로 15cm, 세로 13cm인 직사각형이 있습니다. 이 직사각형의 넓이는 얼마일까요?","a = 15
b = 13
y = a * b
print(y)",195
3,다음 식 9 * A > 20 을 만족하는 1부터 9까지의 수는 모두 몇 개인가요?,"a = 1
b = 9
c = 9
d = 20
y = 0
for i in range(a, b + 1):
    if i > d / c:
        y += 1
print(y)",7
7,"A는 60°+35°, B는 120° - 55°일 때 둘 중 무엇이 더 각도가 큽니까?","a = 60 + 35
b = 12 - 55
dicts = {'A':a, 'B':b}
y = max(dicts, key = dicts.get)
print(y)",A
7,"첫째 돼지는 벽돌을 3332개, 둘째 돼지는 벽돌을 2221개, 셋째 돼지는 벽돌은 1119개 옮겼습니다. 벽돌을 가장 많이 옮긴 돼지와 가장 적게 옮긴 돼지의 개수 차이를 구하세요.","a = [3332, 2221, 1119]
y = max(a) - min(a)
print(y)",2213
1,4.7은 0.1이 몇 개 있어야 하나요?,"a = 4.7
b = 0.1
y = int(a / b)
print(y)",47
8,"가로가 7cm, 세로가 9cm인 직사각형이 있습니다. 이 직사각형의 넓이를 구하세요.","a = 7
b = 9
y = a * b
print(y)",63
1,곶감 854개를 한 상자에 30개씩 담아서 팔려고 합니다. 곶감은 최대 몇 상자로 나누어 담을 수 있을까요?,"a = 854
b = 30
y = a // b
print(y)",28
1,"승재네 반은 남학생이 18명, 여학생이 21명입니다. 그 중에서, 안경을 쓰지 않은 학생이 15명이라면, 안경을 쓴 학생은 몇 명입니까?","a = 18
b = 21
c = 15
y = a + b - c
print(y)",24
1,"500원짜리 10개, 100원짜리 30개, 10원짜리 50개를 이 돈을 5000원짜리 지폐로 바꾼다면 얼마까지 바꿀 수 있는지 구하시오.","a = 500
b = 10
c = 100
d = 30
e = 10
f = 50
g = 5000
y = ((a * b) + (c * d) + (e * f)) // g * g
print(y)",5000
1,1분에 3.7리터씩 물이 나오는 수도로 300분 동안 물을 받는다면 물은 모두 몇 리터가 되는지 구해보세요.,"a = 3.7
b = 300
y = int(a * b)
print(y)",1110
6,어떤 수를 5으로 나누어야 할 것을 잘못하여 곱했더니 40.5가 되었습니다. 바르게 계산했을 때의 몫은 얼마일까요?,"a = 5
b = 40.5
y = (b / a) / a
print(""{:.2f}"".format(y))",1.62
1,어망에서는 여러가지 물고기를 분류할 수 있습니다.  그래서 각각의 물고기를 분류하여 음식의 재료로 사용할 수도 있습니다.  명수는 바닷물 705g을 떠와서 넙치를 235g을 분리하였습니다. 명수가 떠온 바닷물의 양은 분리한 넙치의 양의 몇 배일까?,"a = 705
b = 235
y = a // b
print(y)",3
6,50에 어떤수를 더해야하는데 잘못하여 뺐더니 22가 되었습니다. 바르게 계산한 결과를 구하세요.,"a = 50
b = 22
y = (a - b) + a
print(y)",78
4,"70으로 나누어도 1이 남고, 49로 나누어도 1이 남는 수 중에서 가장 작은 세 자리 수를 찾아보세요.","import math

a = 70
b = 49
c = 1
y = a * b // math.gcd(a, b) + c
print(y)",491
7,승우와 현호는 500미터 달리기를 하였습니다. 승우의 기록은 200초이고 현호의 기록은 3분 10초입니다. 달리기 기록이 더 좋은 사람은 누구일까요?,"a = 200
b = 3
c = 10
dicts = {'승우': a, '현호': b * 60 + c}
y = min(dicts, key=dicts.get)
print(y)",현호
1,"땅콩 0.2kg 의 가격이 1400원이라면, 땅콩 1 kg 의 가격은 얼마입니까?","a = 1400
b = 0.2
c = int(1 // b)
y = a * c
print(y)",5600
5,다음 식 70*A=6300이 있습니다. 이를 만족하는 A를 구하시오.,"a = 70
b = 6300
y = b // a
print(y)",90
1,"수첩 한 권의 무게는 90g , 연필 한 타의 무게는 360g , 색연필 한 자루의 무게는 85g 입니다. 수첩 2권, 연필 10자루, 색연필 5자루의 무게의 합을 구하시오.","a = 90
b = 360
c = 85
d = 2
e = 10
f = 5
y = a * d + (b // 12 * e) + c * f
print(y)",905
1,사슴과 토끼의 다리 수는 4개입니다.  수를 세어 보니 모두 52 개였습니다. 사슴이  5마리라면 토끼는 몇 마리일까요?,"a = 4
b = 52
c = 5
y = (b - c * a) // a
print(y)",8
1,지우개 630개를 한 상자에 90개씩 담으려고 합니다. 지우개는 몇 상자에 담을 수 있는지 계산해보시오.,"a = 630
b = 90
y = int(a // b)
print(y)",7
8,한 변의 길이가 3.9cm인 정삼각형이 있습니다. 이 정삼각형의 둘레는 몇 cm인가요?,"a = 3.9
b = 3
y = a * b
print(""{:.2f}"".format(y))",11.70
1,"여학생 15명은 5명씩 한 모둠을 만들고, 남학생 28명은 4명씩 한 모둠을 만들었습니다. 만든 모둠은 모두 몇 모둠이 될까요?","a = 15
b = 5
c = 28
d = 4
y = a // b + c // d
print(y)",10
4,다음 수 37406312365124에서 백억의 자리 숫자와 십만의 자리 숫자의 합은 얼마인지 구하시오.,"a = 37406312365124
b = int(str(a)[3])
c = int(str(a)[-6])
y = b + c
print(y)",3
7,"나은의 키는 161cm 이고, 가은이의 키는 159.3 cm 라면, 누구의 키가 더 큽니까?","a = 161
b = 159.3
dicts = {""나은"": a, ""가은"": b}
y = max(dicts, key=dicts.get)
print(y)",나은
1,어느 치즈 공장에서 하루에 치즈를 540개씩 만든다고 합니다. 이 공장에서 28일 동안 만들 수 있는 치즈의 갯수는 몇 개 일까요?,"a = 540
b = 28
y = a * b
print(y)",15120
6,어떤 수에 10을 곱해야 할 것을 잘못하여 10을 더했더니 26이 되었습니다. 어떤 수에 10을 곱하면 얼마입니까?,"a = 10
b = 26
y = (b - a) * a
print(y)",160
6,어떤 수를 10으로 곱했더니 500이 되었습니다. 어떤 수를 구하시오.,"a = 10
b = 500
y = b // a
print(y)",50
1,368에 46을 곱한 값을 구하시오.,"a = 368
b = 46
y = a * b
print(y)",16928
8,한 변의 길이가 22센티미터인 정 오각형의 둘레의 길이를 구하시오.,"a = 5
b = 22
y = a * b
print(y)",110
8,한 변의 길이가 33cm인 정사각형 모양의 액자의 둘레는 몇 cm인가요?,"a = 33
b = 4
y = a * b
print(y)",132
1,"미진이는 3.5 km 를 달렸고, 시윤이는 미진이보다 1500 m 더 적게 달렸다고하면, 시윤이는 몇 m 를 달렸습니까?","a = 3.5 * 1000
b = 1500
y = int(a - b)
print(y)",2000
1,지훈이네 반 38명의 학생들은 5명씩 한 모둠을 만들어 하천 주변에서 쓰레기 줍기를 하였습니다.한 모둠 당 쓰레기봉투를 4개씩 받았다면 나누어 준 쓰레기봉투는 모두 몇 개 일까요?,"a = 38
b = 5
c = 4
y = a // b * c
print(y)",28
6,"윤기는 네 자리 수와 두 자리 수의 뺄셈을 하려 합니다. 윤기는 네 자리 수의 일의 자리 숫자 6를 9로 잘못 보았고, 두 자리 수의 십의 자리 숫자와 일의 자리 숫자를 바꾸어 23이라고 잘못 보았습니다. 윤기가 구한 차는 2456일 때, 바르게 계산한 결과를 구하시오.","a = 6
b = 9
c = 23
d = 2456
e = d + c - b + a
f = (c % 10) * 10 + (c // 10)
y = e - f
print(y)",2444
8,긴 변이 10cm 짧은 변이 6cm인 직사각형과 네변의 길이의 합이 같은 정사각형의 한 변은 몇cm 입니까? ,"a = 10
b = 6
c = 4
y = (a + b) * 2 // c 
print(y)",8
7,"다크 초콜릿은 한 상자에 5개씩 10상자가 있고, 화이트 초콜릿은 한 상자에 6개씩 8상자가 있습니다. 어느 초콜릿이 더 많습니까?","a = 5
b = 10
c = 6
d = 8
dicts = {'다크 초콜릿': a * b, '화이트 초콜릿': c * d}
y = max(dicts, key=dicts.get) 
print(y)",다크 초콜릿
1,중국 돈 1위안으로 바꾸기 위해 우리나라돈 160원을 지불해야한다고 할 때 600위안으로 바꾸려면 우리나라 돈 얼마를 지불해야 할까요?,"a = 160
b = 600
y = int(a * b)
print(y)",96000
4,"숫자 56/21 , 40/21 , 35/21 , 39/21 이 있습니다. 이중에서, 가장 큰 수는 몇입니까? 소수로 나타내시오.","a = [56/21 , 40/21 , 35/21 , 39/21]
y = max(a)
print(""{:.2f}"".format(y))",2.67
1,"서진이가 귤 24개를 바구니 6개에 똑같이 나누어 담고, 바구니 1개에 담긴 귤을 형과 똑같이 나누어 먹었습니다. 서진이가 먹은 귤은 몇 개입니까?","a = 24
b = 6
c = 1
d = 2
y = a // b * c // d 
print(y)",2
4,"숫자 9/28, 9/21, 6/21, 4/14가 있습니다. 이중에서, 2/7과 크기가 같은 분수의 개수를 구하시오.","a = [9/28, 9/21, 6/21, 4/14]
b = 2
c = 7
y = 0
for i in a:
    if i == b / c :
        y += 1
print(y)",2
8,"가로의 길이가 13cm, 세로의 길이가 15cm인 직사각형이 있습니다. 이 직사각형의 둘레는 몇 cm인지 구하세요.","a = 13
b = 15
y = (a + b) * 2
print(y)",56
1,공도는 매실주스를 매일 0.7L씩 마십니다. 공도가 9일 동안 마실 매실주스를 준비하려면 1L짜리 매실주스를 적어도 몇 개 사야 할까요?,"a = 0.7
b = 9
y = int(b * a)
print(y)",6
8,"둘레가 80cm이고, 가로의 길이가 12cm인 직사각형이 있습니다. 이 직사각형의 세로는 몇 cm입니까?","a = 4
b = 80
c = 12
y = (b - (c * 2)) // 2
print(y)",28
5,"9에 두 자리 수 AB를 곱하였더니 117이 되었다면, 일의자리와 십의 자리를 바꾼 두 자리 수 BA는 얼마입니까?","a = 9
b = 117
c = b // a
d = c // 10
e = c % 10
y = e * 10 + d
print(y)",31
7,"기차는 10시간 동안 1000km를 달리고, 버스는 8시간 동안 612km미터를 달립니다. 기차와 버스 중 어느 것이 더 빠를까요?","a = 10
b = 1000
c = 8
d = 612
dicts = {""기차"": b / a, ""버스"": d / c}
y = max(dicts, key=dicts.get)
print(y)",기차
1,사탕을 한 봉지에 32개씩 8봉지에 담았습니다. 전체 사탕의 개수는 몇 개입니까?,"a = 32
b = 8
y = a * b
print(y)",256
4,"숫자 20, 5, 45 중에서, 가장 큰 수를 가장 작은 수로 나눈 몫은 얼마입니까?","a = [20, 5, 45]
y = max(a) // min(a)
print(y)",9
3,"숫자 카드 8, 2, 3, 1, 4를 한 번만 사용하여 만들 수 있는 가장 큰 수는 얼마인가요?","from itertools import permutations

a = ['8', '2', '3', '1', '4']
y = int(max(map(''.join, permutations(a, len(a)))))
print(y)",84321
1,기후는 500원짜리 동전이 20개 있습니다. 오천원짜리 과자를 하나 샀을 때 남은 돈은 얼마가 될까요?,"a = 500
b = 20
c = 5000
y = (a * b) - c
print(y)",5000
1,마카롱이 한 상자에 4개씩 10줄로 놓여 있습니다. 이 초콜릿을 학생 8명에게 4개씩 나누어 주면 몇 개가 남습니까?,"a = 4
b = 10
c = 8
d = 4
y = (a * b) - (c * d)
print(y)",8
8,"승훈이가 가로가 15cm, 세로가 11cm인 직사각형 모양의 태극기의 둘레는 몇 cm일까요?","a = 15
b = 11
y = (a + b) * 2
print(y)",52
8,"가로가 7미터 이고, 세로가 9미터 인 직사각형 모양의 꽃밭의 넓이는 몇 제곱미터인지 구하시 오.","a = 7
b = 9
y = a * b
print(y)",63
8,"가로의 길이가 19cm, 세로의 길이가 21cm인 직사각형이 있습니다. 이 직사각형의 넓이를 구하시오.","a = 19
b = 21
y = a * b
print(y)",399
4,분모가 16인 진분수 중에서 기약분수는 경우는 모두 몇 가지일 지 구해보세요.,"import math
a = 16
y = 0
for i in range(1, a):
    if math.gcd(i, a) == 1:
        y = y + 1
print(y)",8
5,"숫자 A, B가 있습니다. A를 7로 나는 몫은 15이고, 나머지가 B일 때, A 안에 들어갈 수 있는 수 중에서 가장 큰 수는 얼마인지 구해 보세요.","a = 7
b = 15
y = a * b + (a - 1)
print(y)",111
3,"숫자 카드 1, 3, 7 가있습니다. 2장의 카드를 사용하여 만들 수 있는 가장 큰 분수와 가장 작은 분수의 곱을 구하세요.","a = [1, 3, 7]
y = int((max(a) / min(a)) * (min(a) / max(a)))
print(y)",1
6,45를 어떤 수로 나누었더니 몫이 9였습니다. 80를 어떤 수로 나눈 몫은 얼마입니까?,"a = 45
b = 9
c = 80
y = c // (a // b)
print(y)",16
8,한 변이 33미터 인 정사각형 모양의  밭의 둘레를 구하시오.,"a = 33
b = 4
y = a * b
print(y)",132
7,"한 상자에 46개씩 담겨져 있는 감이 4상자 있고, 50개씩 담겨져 있는 배가 9상자 있습니다. 감과 배 중 무엇이 더 적나요?","a = 46
b = 4
c = 50
d = 9
dicts = {'감': a * b, '배': c * d}
y = min(dicts, key=dicts.get)
print(y)",감
8,길이가 48cm인 철사를 이용하여 만든 가장 큰 정삼각형의 한 변은 몇 cm인가요?,"a = 48
b = 3
y = a // b
print(y)",16
1,철사 119/12m중에서 22/6m를 사용하였습니다. 남은 털실은 몇m 인지 소수로 나타내시오?,"a = 119/12
b = 22/6 
y = a - b
print(""{:.2f}"".format(y))",6.25
4,"수 30, 1, 34, 5 중 가장 큰 수와 가장 작은 수의 곱을 구하여 보시오.","a = [30, 1, 34, 5]
b = max(a)
c = min(a)
y = b * c
print(y)",34
8,한 변의 길이가 30cm인 정사각형과 둘레가 같은 정육각형의 한 변의 길이는 몇 cm입니까?,"a = 30
b = 4
c = 6
y = a * b // c
print(y)",20
8,"한 대각선의 길이가 15센티미터인 마름모의 넓이가 밑변이 115센티미터, 높이가 20센티미터인 삼각형의 넓이와 같다고 합니다. 그렇다면, 마름모의 다른 대각선의 길이는 몇 센티미터일까요?","a = 15
b = 15
c = 20
y = (b * c // 2) * 2 // a
print(y)",20
4,"세 숫자 1.2, 3.3, 5.9 중에서, 가장 큰 소수와 가장 작은 소수의 합을 구하세요.","a = [1.2, 3.3, 5.9]
y = max(a) + min(a)
print(""{:.2f}"".format(y))",7.10
8,한 변의 길이가 5.88미터인 정사각형이 있습니다. 이 정사각형의 넓이는 몇 제곱미터입니까?,"a = 5.88
y = a ** 2
print(""{:.2f}"".format(y))",34.57
3,"숫자 카드 2, 3, 5, 9가 있습니다. 카드를 3개를 골라 한 번씩만 사용하여 세 자리 수 두개를 만들어 차를 구하려고 합니다. 차가 가장 큰 뺄셈식의 차를 구하시오.","from itertools import permutations

a = ['2', '3', '5', '9']
b = 3
c = list(map(''.join, permutations(a, b)))
d = int(max(c))
e = int(min(c))
y = d - e
print(y)",718
1,"만연필 한 자루의 무게는 150g , 색연필8개의 무게는 320g 입니다. 만연필 5 자루와 색연필 4개의 무게를 합 하면 얼마입니까?","a = 150
b = 8
c = 320
d = 5
e = 4
y = a * d + c // b * e
print(y)

",910
5,"현재 펼쳐져 있는 책의 두 쪽수의 합이 101이라면, 두 쪽수 중 큰 수를 쓰시오.","a = 101
y = (a + 1) // 2
print(y)",51
1,배추 모종이 한 판에 50 포기씩 6 판 있습니다. 배추 모종은 총 몇 포기인지 계산해보세요.,"a = 50
b = 6
y = a * b
print(y)",300
1,민지는 길이가 20cm 짜리 연필로 책상의 긴 쪽 길이를 재었더니 33번 이었습니다. 책상의 긴 쪽의 길이는 몇 센티미터인지 구하세요.,"a = 20
b = 33
y = a * b
print(y)",660
3,"숫자 카드 2, 3, 7를 한 번씩 사용하여 두 자리 수와 한 자리 수를 만들었습니다. 두 수의 나눗셈에서 나머지가 가장 작은 경우의 몫과 나머지의 합을 구하세요.","from itertools import permutations

a = ['2', '3', '7']
b = list(map(''.join, permutations(a)))
c = []
d = []
for i in b:
    e = int(i[:2])
    f = int(i[2:])
    c.append(e % f)
    d.append(e // f + e % f)
y = d[c.index(min(c))]
print(y)",9
4,"분수 4/11, 2/5, 3/8가 있습니다. 이중 큰 수와 작은 수의 차를 구해서 소수 둘째자리까지 나타내시오.","a = 4 / 11
b = 2 / 5
c = 3 / 8
d = [a, b, c]
y = max(d) - min(d)
print(""{:.2f}"".format(y))",0.04
1,과수원에서 오늘 감귤을 400개 수확했습니다. 이 감귤을 한 상자에 5개씩 담아 팔려고 합니다. 팔 수 있는 감귤은 최대 몇 상자일까요?,"a =400 
b = 5
y = a // b
print(y)",80
2,키가 작은 사람부터 순서대로 10명이 한 줄로 서 있습니다. 태형이가 앞에서부터 3번째에 서 있습니다. 키가 큰 사람부터 순서대로 다시 줄을 세운다면 태형이는 앞에서부터 몇 번째에 서게 될까요?,"a = 10
b = 3
y = (a + 1) - b
print(y)",8
8,원 모양의 돌림판을 10바퀴를 굴렸더니 움직인 거리가 690.8센티미터 였습니다. 돌림판의 반지름은 몇 센티미터 입니까? (원주율 : 3.14 ),"a = 2
b = 3.14
c = 10
d = 690.8
y = int(d / (a * b * c))
print(y)",10
8,"윤서가 그린 그림의 가로는 19/26미터, 세로는 4/15미터입니다. 가로 길이와 세로 길이의 차를 소수 둘째자리까지 나타내보시오.","a = 19 / 26
b = 4 / 15
y = abs(a - b)
print(""{:.2f}"".format(y))",0.46
8,한 변의 길이가 9/16m인 정사각형의 이 정사각형의 둘레는 몇 m입니까?,"a = 9 / 16
b = 4
y = a * b
print(""{:.2f}"".format(y))",2.25
3,"수 카드 1, 5, 9를 한 번씩 사용하여 세 자리 수를 만들려고 합니다. 만들 수 있는 가장 큰 수와 가장 작은 수의 차를 구하세요.","from itertools import permutations

a = ['1', '5', '9']
b = int(max(map(''.join, permutations(a, 3))))
c = int(min(map(''.join, permutations(a, 3))))
y = b - c
print(y)",792
8,넓이가 60센티미터인 원의 반지름의 길이가 세 배가 될 경우 넓이는 센티미터²가 될까요?,"import math

a = 60
b = 3
c = math.pi
y = int((((a ** 0.5) / c) * b * c) ** 2)
print(y)",540
3,"4장의 숫자 카드 1,2,7,9가 있습니다. 이중에서 2장을 뽑아 한 번씩만 사용하여 두 자리 수를 만들었습니다. 만든 두 자리 수를 4로 나누었을 때 몫이 가장 작은 나눗셈식의 몫을 구해보시오. ","from itertools import permutations

a = ['1', '2', '7', '9']
b = 4
c = list(map(''.join, permutations(a, 2)))
e = []
for i in c:
    if int(i) % b == 0:
        e.append(int(i) // b)
y = min(e)
print(y)",3
5,"집에서 치과까지의 거리는 집에서 내과까지의 거리의 3.21배입니다. 학교에서 놀이터까지 60m라면, 학교에서 은행까지의 거리는 몇m 인가요?","a = 3.21
b = 60
y = a * b
print(""{:.2f}"".format(y))",192.60
1,서현이는 오렌지 주스를 하루에 9/12L 씩 마십니다. 서현이가 8일 동안 마신 물은 몇L일까요?,"a = 9/12
b = 8
y = int(a * b)
print(y)",6
1,강황 가루 3컵에 물 9컵을 넣어 강황 요리를 만들려고 합니다. 물 양에 대한 강황 가루 양의 비율을 소수로 나타내시오.,"a = 3
b = 9
y = a / b
print(""{:.2f}"".format(y))",0.33
1,"10만 원짜리 수표 12장을 만 원짜리 지폐로 모두 바꾸었다면, 만 원짜리 지폐는 총 몇 장인가요?","a = 100000 * 12
b = 10000
y = a // b
print(y)",120
4,"88, 62, 15이 있습니다. 가장 큰 수에서 가장 작은 수를 뺀 값을 구해보세요.","a = [88, 62, 15]
y = max(a) - min(a)
print(y)",73
7,"A는 500 / 31, B는 560 / 34일 때 몫이 더 작은 나눗셈의 기호를 말하시오.","a = 500 // 31
b = 560 // 34
dicts = {'A': a, 'B': b}
y = min(dicts, key = dicts.get)
print(y)",A
3,1에서 8까지의 숫자가 있습니다. 이 숫자들을 각각 한 번씩 사용하여 만들 수 있는 수 중에서 가장 작은 수를 구하시오.,"a = [1, 2, 3, 4, 5, 6, 7]
a.sort()
b = list(map(str, a))
y = """".join(b)
print(y)",1234567
4,"숫자 22, 35, 60 중에서, 가장 큰 수와 가장 작은 수의 곱을 구하세요.","a = [22, 35, 60]
y = max(a) * min(a)
print(y)",1320
8,"가로가 11cm, 세로가 19cm인 직육면체의 모든 모서리의 길이의 합이 180cm일 때 직육면체의 높이를 구하시오.","a = 11
b = 19
c = 180
y = c // 4 - (a + b)
print(y)",15
8,"정사각형 안에 가장 큰 원을 그렸을 때, 원의 반지름은 12cm라고 한다면, 정사각형의 한 변의 길이는 몇 cm 입니까?","a = 12
b = a * 2
y = b
print(y)",24
5,어떤 수와 8의 곱은 40입니다. 95를 어떤 수로 나누면 몫은 얼마입니까?,"a = 8
b = 40
c = 95
y = c // (b // a)
print(y)",19
6,어떤 수에서 0.21를 빼야 할 것을 잘못하여 더했더니 6.83 이 되었습니다. 바르게 계산하면 얼마입니까?,"a = 0.21
b = 6.83
c = b - a
y = c - a
print(""{:.2f}"".format(y))",6.41
8,한 변의 길이가 7cm인 마름모가 있습니다. 이 마름모의 둘레를 구하시오.,"a = 7
b = 4
y = a * b
print(y)",28
8,한 변의 길이가 15cm인 정오각형이 있습니다. 이 정오각형의 둘레는 몇cm인가요?,"a = 15
b = 5
y = a * b
print(y)",75
6,어떤 수에서 25을 뺐더니 81이 되었습니다. 어떤 수는 몇 이였을까요?,"a = 25
b = 81
y = a + b
print(y)",106
3,"숫자 카드 1, 9, 2, 8가 있습니다. 이중에서, 3장을 한 번씩만 사용하여 만들 수 있는 가장 큰 세 자리 수를 구하시오","from itertools import permutations

a = ['1', '9', '2', '8']
y = int(max(map(''.join, permutations(a, 3))))
print(y)",982
1,주스 5.7L를 윤정이네 반 학생들이 나누어 마셨더니 3.2L가 남았습니다. 윤정이네 반 학생들이 마신 주스의 양은 몇 L일까요?,"a = 5.7
b = 3.2
y = a - b
print(""{:.2f}"".format(y))",2.50
1,샤프 45자루를 한 명에게 3자루씩 주려고 합니다. 몇 명에게 나누어 줄 수 있을까요?,"a = 45
b = 3
y = int(a // b)
print(y)",15
3,"숫자 3, 5, 1, 8, 9가 있습니다. 3개의 숫자를 뽑아 한 번씩만 사용하여 세 자리 수를 만들려고 합니다. 만들 수 있는 가장 큰 수와 가장 작은 수의 합을 구하시오.","from itertools import permutations

a = ['3', '5', '1', '8', '9']
b = 3
c = list(map(''.join, permutations(a, b)))
d = int(max(c))
e = int(min(c))
y = d + e
print(y)",1120
6,어떤 수에 17을 곱해야 할 것을 실수로 31 을 곱하였더니 372가 나왔습니다. 바르게 계산한 값을 구하시오.,"a = 372
b = 31
c = 17
y = (a // b) * c
print(y)",204
8,"가로가 5+2/9센티미터, 세로가 3+2/9센티미터인 직사각형과 가로가 5센티미터, 세로가 6+1/5센티미터인 평행사변형이 있습니다. 두 도형의 넓이의 차는 몇 센티미터² 인지 구하시오.","a = (5 + 2 / 9) * (3 + 2 / 9)
b = 5 * (6 + 1 / 5)
y = abs(a - b)
print(""{:.2f}"".format(y))",14.17
5,다음 식 81 / A = 36 / 4이 있습니다. 이를 만족하는 A를 구하시오.,"a = 81
b = 36
c = 4
y = a // (b // c)
print(y)",9
4,"숫자 97, 8, 50가 있습니다. 이중에서, 가장 큰 수를 가장 작은 수로 나눈 몫을 구해 보시오.","a = [97, 8, 50]
b = max(a)
c = min(a)
y = b // c
print(y)",12
1,한 병에 10리터가 들어 있는 주스를 3명이 똑같이 나누어 마셨더니 주스가 1리터 남았습니다. 한 명이 마신 주스는 몇 리터일까요?,"a = 10
b = 3
c = 7.9
y = (a - c) / b
print(""{:.2f}"".format(y))",0.70
1,"철사를 현지는 123cm사용하였고, 재석이는 현지보다 333cm 더 사용하였다면, 재석이가 사용한 철사는 몇 cm일까요?","a = 123
b = 333
y = a + b
print(y)",456
8,"한 변의 길이가 7.42cm인 정팔각형이 있습니다. 이 정팔각형과 둘레가 같은 정사각형이 있다면, 이 정사각형의 한변은 몇cm 인가요?","a = 7.42
b = 8
c = 4
y = a * b / c
print(""{:.2f}"".format(y))",14.84
1,549 -435를 계산해보세요.,"a = 549
b = 435
y = a - b
print(y)",114
1,"세 각의 크기가 각각 130°, 85°, 50°인 사각형이 있습니다. 사각형의 나머지 한 각의 크기는 몇 도인가요?","a = 360
b = 130
c = 85
d = 50
y = a - (b + c + d)
print(y)",95
1,분홍 쪽지 34 장과 빨간 쪽지 14 장이 있습니다. 이 쪽지를 3명이 똑같이 나누어 가지려면 한 명이 몇 장씩 가지면 됩니까?,"a = 34
b = 14
c = 3
y = (a + b) // c
print(y)",16
3,"3 장의 숫자 카드 2, 3, 4 가 있습니다. 카드를 한 번씩만 사용하여 두자리수 / 한자리수와 같은 나눗셈식중에서, 가장 작은 몫은 얼마입니까?","a = [2, 3, 4]
a.sort()
y = (10 * a[0] + a[1]) // a[2]
print(y)",5
1,"어떤 병에 물을 컵 A로 가득 채우려면 32 번, 컵 B로 가득 채우려면 2 번 부어야 합니다. 컵 B의 컵 A의 몇 배 만큼 큽니까?","a = 32
b = 2
y = a // b
print(y)",16
7,"서진이는 초콜릿은 8개 샀고 유진이는 초콜릿을 10개보다 5개 더 적게 샀다면, 초콜릿을 더 많이 산 사람은 누구일까요?","a = 8
b = 5
c = 10 - b
dicts = {'서진':a, '유진':c}
y = max(dicts, key=dicts.get)
print(y)",서진
5,"무게가 같은 수박이 한 상자에 3개씩 들어 있습니다. 상자 6개의 무게가 23kg 일 때 수박 한 개의 무게는 몇 kg 인지 소수로 나타내시오. (단, 상자의 무게는 생 각하지 않습니다.)","a = 23
b = 6
c = a / b
y = c / 3
print(""{:.2f}"".format(y))",1.28
8,"지름이 28cm 인 원 안에 반지름이 2cm 인 원을 겹치지 않게 그리려고 한다면, 몇 개까지 그릴 수 있습니까?","a = 28
b = 2
c = 2 * b
y = int(a / c)
print(y)",7
2,"국어 시험에서 정민이는 10등을 했고, 지환이는 8등을 했습니다. 지윤는 지환이보다 못했지만 정민이보다는 잘했습니다. 지윤이는 몇 등입니까?","a = 10
b = 8
y = (a + b) // 2
print(y)",9
8,넓이가 80cm²인 직사각형의 가로가 5cm 이면 세로는 몇 cm 입니까?,"a = 80
b = 4
y = a // b
print(y)",20
5,어느 빵집에서 빵 50개를 만드려면 밀가루 10kg이 필요하다고 합니다. 빵을 200개 만드려면 밀가루가 몇 kg가 필요한가요?,"a = 50
b = 10
c = 200
y = b * c // a
print(y)",40
4,"분수 2/5, 3/8, 6/15, 9/13가 있습니다. 이 중 가장 큰 수를 소수점 둘째자리까지 표기하세요.","a = [2 / 5, 3 / 8, 6 / 15, 9 / 13]
y = max(a)
print(""{:.2f}"".format(y))",0.69
4,2보다 크고 60보다 작은 수 중에서 2로 나누면 나머지가 1이고 9로 나누면 나누어떨어지는 수는 모두 몇 개인지 세어보세요.,"a = 2
b = 60
c = 2
d = 1
e = 9
y = 0
for i in range(a, b):
    if i % c == d and i % e == 0:
        y = y + 1
print(y)",3
